ACID					ID		 DATE				DEPAD	 DESTAD	AIRCRAFT	ATD							POINT		 TIME
  CES5186     3360   20130526   ZSPD   ZBAA   ZZZZ   201305262206        DOGAR   201305262329
  CES5186     3360   20130526   ZSPD   ZBAA   ZZZZ   201305262206         ZBAA   201305262343
   CCA178     3745   20130526   ZSPD   ZBAA   ZZZZ   201305262141        DOGAR   201305262307
   CCA178     3745   20130526   ZSPD   ZBAA   ZZZZ   201305262141         ZBAA   201305262321
   CCA176     5050   20130526   ZSPD   ZBAA   ZZZZ   201305262153        ABTUB   201305262247
   CCA176     5050   20130526   ZSPD   ZBAA   ZZZZ   201305262153        DALIM   201305262250
   CCA176     5050   20130526   ZSPD   ZBAA   ZZZZ   201305262153        DOGAR   201305262314
   CCA176     5050   20130526   ZSPD   ZBAA   ZZZZ   201305262153         ZBAA   201305262328
   CCA156     5080   20130526   ZSPD   ZBAA   ZZZZ   201305261910        OMUDI   201305261953
   CCA156     5080   20130526   ZSPD   ZBAA   ZZZZ   201305261910          PIX   201305261957
   CCA156     5080   20130526   ZSPD   ZBAA   ZZZZ   201305261910        UDINO   201305262001
   CCA156     5080   20130526   ZSPD   ZBAA   ZZZZ   201305261910          P58   201305262001
   CCA156     5080   20130526   ZSPD   ZBAA   ZZZZ   201305261910        DOGAR   201305262040
   CCA156     5080   20130526   ZSPD   ZBAA   ZZZZ   201305261910         ZBAA   201305262104
  CSS6877     8850   20130527   ZSPD   ZBAA   ZZZZ   201305280018        UDINO   201305280107
  CSS6877     8850   20130527   ZSPD   ZBAA   ZZZZ   201305280018          P58   201305280108
  CSS6877     8850   20130527   ZSPD   ZBAA   ZZZZ   201305280018         ZBAA   201305280202
  YZR7929     8216   20130527   ZSPD   ZBAA   ZZZZ   201305270158        UDINO   201305270248
  YZR7929     8216   20130527   ZSPD   ZBAA   ZZZZ   201305270158          P58   201305270248
  YZR7929     8216   20130527   ZSPD   ZBAA   ZZZZ   201305270158        DOGAR   201305270328
  YZR7929     8216   20130527   ZSPD   ZBAA   ZZZZ   201305270158         ZBAA   201305270343
  CYZ9032     6381   20130527   ZSPD   ZBAA   ZZZZ   201305280144        UDINO   201305280236
  CYZ9032     6381   20130527   ZSPD   ZBAA   ZZZZ   201305280144          P58   201305280236
  CYZ9032     6381   20130527   ZSPD   ZBAA   ZZZZ   201305280144        BIVOR   201305280308
  CYZ9032     6381   20130527   ZSPD   ZBAA   ZZZZ   201305280144         ZBAA   201305280328
  CES5186     8159   20130527   ZSPD   ZBAA   ZZZZ   201305272219        UDINO   201305272310
  CES5186     8159   20130527   ZSPD   ZBAA   ZZZZ   201305272219          P58   201305272310
